genotypes,count
blaTEM-1,1672
blaCTX-M-15,536
blaCMY-2,289
blaOXA-1,278
blaHER-3,181
blaCTX-M-27,178
blaCTX-M-1,169
blaCTX-M-55,111
blaTEM=PARTIAL_END_OF_CONTIG,104
blaCTX-M-14,89
blaSHV-12,51
blaTEM,32
blaSHV-1,26
blaNDM-1,23
blaHER,21
blaDHA-1,20
blaCMY-42,15
blaCTX-M,15
blaCARB-2,15
blaTEM-52,15
blaNDM-5,14
blaCMY=PARTIAL_END_OF_CONTIG,14
blaKPC-3,13
blaCMY-6,12
blaCTX-M-32,12
blaCMY,11
blaCTX-M-8,11
blaTEM-135,10
blaTEM-176,10
blaOXA-9,8
blaCTX-M-65,7
blaCMY-4,7
blaOXA-10,6
blaOXA-2,5
blaCTX-M-2,5
blaTEMp_C32T=POINT,5
blaTEM-30,5
blaCTX-M=PARTIAL_END_OF_CONTIG,5
blaLAP-2,4
blaKPC-2,4
blaOXA=PARTIAL_END_OF_CONTIG,4
blaTEM-32,4
blaNDM-7,4
blaOXA-48,4
blaTEM-40,4
blaCTX-M-3,4
blaOXA,3
blaSHV,3
blaTEM-190,3
blaTEM-103,3
blaTEM-12,3
blaSHV-7,3
blaEC-15,2
blaCTX-M-64,2
blaTEM-19,2
blaPSE,2
blaHER=PARTIAL_END_OF_CONTIG,2
blaOXA-232,2
blaSHV=PARTIAL_END_OF_CONTIG,2
blaKPC-4,2
blaCTX-M-24,2
blaOXA-181,2
blaTEM-35,2
blaCTX-M-134,1
blaTEM-34,1
blaTEM-33,1
blaTEM-84,1
blaCTX-M-9,1
blaSHV-2A,1
blaVEB-1,1
blaVIM-1,1
blaSHV-5,1
blaLAP-1,1
blaTEM-57,1
blaTEM-31,1
blaCMY-141,1
blaSCO-1,1
blaTEM-116,1
blaNDM-9,1
blaCMY-59,1
blaTEM-20,1
blaTEM-208,1
blaCMY-145,1
blaDHA=PARTIAL_END_OF_CONTIG,1
blaNDM-6,1
blaNDM,1
blaVEB-5,1
blaTEM-207,1
blaTEM-214,1
blaCTX-M-104,1
