genotypes,count
gyrA_S83L=POINT,1386
parC_S80I=POINT,1034
gyrA_D87N=POINT,998
parE_I529L=POINT,634
parC_E84V=POINT,451
aac(6')-Ib-cr5,253
qnrS1,242
parE_S458A=POINT,214
parE_L416F=POINT,190
parE_D475E=POINT,150
parE_I355T=POINT,65
parC_S57T=POINT,62
qnrB19,45
parC_A56T=POINT,40
gyrA_D87Y=POINT,38
parC_E84G=POINT,34
qnrB4,21
parE_E460D=POINT,19
parE_S458T=POINT,18
gyrA_S83A=POINT,17
gyrA_D87G=POINT,14
parC_S80R=POINT,13
qepA4,7
parC_E84K=POINT,5
qnrB1,5
gyrA_S83V=POINT,4
qnrB=PARTIAL_END_OF_CONTIG,4
parE_L445H=POINT,4
parE_I464F=POINT,4
parC_A108T=POINT,4
qnrB2,4
qepA1,4
qnrA1,3
qnrS=PARTIAL_END_OF_CONTIG,3
qnrB6,3
aac(6')-Ib-cr=PARTIAL_END_OF_CONTIG,3
qnrS2,3
parC_A108V=POINT,3
oqxB,2
parC_E84A=POINT,2
oqxA,2
qnrS13,2
parE_E460K=POINT,2
qnrS,1
qepA,1
qnrB7,1
gyrA_D87H=POINT,1
qepA9,1
